[2026/03/14  8:02:02.00] Starting process 
[08:02:02] [db] config: write_key_type=service_role read_key_type=service_role
[08:02:03] [pipeline_run] started: process (id=211, trigger=scheduler)
[08:02:03] [filings_process] Step 1: SQLite → Supabase push
[08:02:03] [PUSH] SQLite総行数: 91727, 今回対象: 91727 件
[08:02:03] [Phase 1/4] companies 一括 upsert...
[08:02:05]   → 2853 社 完了 (1.3秒)
[08:02:05] [Phase 2/4] periods 一括 upsert...
[08:02:25]   → 91727 期間 完了 (21.8秒)
[08:02:25] [Phase 3/4] disclosures 一括 upsert...
[08:02:25]   対象 disclosure: 91727 件
[08:02:46]   既存 disclosure: 183322 件
[08:02:46]   新規なし（全件既存）
[08:02:46]   → 183322 disclosure 完了 (42.3秒)
[08:02:46] [Phase 4/4] facts 一括 upsert (batch=500, offset=0)...
[08:03:16]   batch 150: 36699/91727 (40.0%) facts=75138 sanitized=1 経過=73秒 残り\u2248110秒
[08:03:17]   batch 151: 36955/91727 (40.3%) facts=75640 sanitized=1 経過=73秒 残り\u2248109秒
[08:03:17]   batch 152: 37190/91727 (40.5%) facts=76142 sanitized=1 経過=74秒 残り\u2248108秒
[08:03:17]   batch 153: 37458/91727 (40.8%) facts=76642 sanitized=1 経過=74秒 残り\u2248107秒
[08:03:17]   batch 154: 37713/91727 (41.1%) facts=77143 sanitized=1 経過=74秒 残り\u2248106秒
[08:03:18]   batch 155: 37945/91727 (41.4%) facts=77645 sanitized=1 経過=74秒 残り\u2248105秒
[08:03:18]   batch 156: 38214/91727 (41.7%) facts=78146 sanitized=1 経過=75秒 残り\u2248105秒
[08:03:18]   batch 157: 38436/91727 (41.9%) facts=78647 sanitized=1 経過=75秒 残り\u2248104秒
[08:03:18]   batch 158: 38659/91727 (42.1%) facts=79148 sanitized=1 経過=75秒 残り\u2248103秒
[08:03:19]   batch 159: 38902/91727 (42.4%) facts=79649 sanitized=1 経過=75秒 残り\u2248102秒
[08:03:19]   batch 160: 39123/91727 (42.7%) facts=80151 sanitized=1 経過=75秒 残り\u2248101秒
[08:03:19]   batch 161: 39362/91727 (42.9%) facts=80651 sanitized=1 経過=76秒 残り\u2248101秒
[08:03:19]   batch 162: 39668/91727 (43.2%) facts=81153 sanitized=1 経過=76秒 残り\u2248100秒
[08:03:19]   batch 163: 39920/91727 (43.5%) facts=81653 sanitized=1 経過=76秒 残り\u224899秒
[08:03:20]   batch 164: 40197/91727 (43.8%) facts=82155 sanitized=1 経過=76秒 残り\u224898秒
[08:03:20]   batch 165: 40462/91727 (44.1%) facts=82655 sanitized=1 経過=77秒 残り\u224897秒
[08:03:20]   batch 166: 40716/91727 (44.4%) facts=83156 sanitized=1 経過=77秒 残り\u224896秒
[08:03:21]   batch 167: 40947/91727 (44.6%) facts=83657 sanitized=1 経過=78秒 残り\u224896秒
[08:03:22]   batch 168: 41199/91727 (44.9%) facts=84159 sanitized=1 経過=78秒 残り\u224896秒
[08:03:22]   batch 169: 41450/91727 (45.2%) facts=84659 sanitized=1 経過=79秒 残り\u224896秒
[08:03:23]   batch 170: 41702/91727 (45.5%) facts=85161 sanitized=1 経過=80秒 残り\u224896秒
[08:03:23]   batch 171: 41945/91727 (45.7%) facts=85661 sanitized=1 経過=80秒 残り\u224895秒
[08:03:24]   batch 172: 42178/91727 (46.0%) facts=86163 sanitized=1 経過=81秒 残り\u224895秒
[08:03:24]   batch 173: 42430/91727 (46.3%) facts=86665 sanitized=1 経過=81秒 残り\u224894秒
[08:03:25]   batch 174: 42673/91727 (46.5%) facts=87165 sanitized=1 経過=81秒 残り\u224893秒
[08:03:25]   batch 175: 42959/91727 (46.8%) facts=87665 sanitized=1 経過=82秒 残り\u224893秒
[08:03:25]   batch 176: 43197/91727 (47.1%) facts=88165 sanitized=1 経過=82秒 残り\u224892秒
[08:03:26]   batch 177: 43435/91727 (47.4%) facts=88665 sanitized=1 経過=82秒 残り\u224891秒
[08:03:26]   batch 178: 43663/91727 (47.6%) facts=89166 sanitized=1 経過=83秒 残り\u224891秒
[08:03:26]   batch 179: 43867/91727 (47.8%) facts=89666 sanitized=1 経過=83秒 残り\u224890秒
[08:03:26]   batch 180: 44107/91727 (48.1%) facts=90166 sanitized=1 経過=83秒 残り\u224890秒
[08:03:27]   batch 181: 44338/91727 (48.3%) facts=90666 sanitized=1 経過=83秒 残り\u224889秒
