ticker,period,quarter,sales,gross_profit,operating_profit
297A0,2025-03-31,3Q,78964000000,,3253000000
297A0,2025-03-31,FY,103836000000,,3412000000
297A0,2026-03-31,1Q,25568000000,,708000000
297A0,2026-03-31,2Q,54107000000,,2757000000
297A0,2026-03-31,3Q,81787000000,,3823000000
29890,2022-01-31,2Q,244051000,,119637000
29890,2022-01-31,2Q,244051000,,119637000
29890,2022-01-31,FY,1343000000,,819000000
29890,2022-07-31,FY,1116000000,,622000000
29890,2023-01-31,FY,1147000000,,635000000
29890,2023-07-31,FY,1616000000,,966000000
29890,2024-01-31,FY,1640000000,,949000000
29890,2024-07-31,FY,1900000000,,1098000000
29890,2025-01-31,FY,2009000000,,1093000000
29890,2025-07-31,FY,2306000000,,1368000000
30030,2021-12-31,1Q,91494000000,,22146000000
30030,2021-12-31,2Q,220067000000,,58691000000
30030,2021-12-31,3Q,265449000000,,69628000000
30030,2021-12-31,FY,447077000000,,114507000000
30030,2022-12-31,1Q,106928000000,,29019000000
30030,2022-12-31,2Q,247429000000,,57065000000
30030,2022-12-31,3Q,399208000000,,77257000000
30030,2022-12-31,FY,523424000000,,126147000000
30030,2023-12-31,1Q,112561000000,,34190000000
30030,2023-12-31,2Q,183950000000,,66650000000
30030,2023-12-31,3Q,278529000000,,90950000000
30030,2023-12-31,FY,446383000000,,146178000000
30030,2024-12-31,1Q,107593000000,,23728000000
30030,2024-12-31,2Q,204852000000,,68923000000
30030,2024-12-31,3Q,314985000000,,88810000000
30030,2024-12-31,3Q,314985000000,,88810000000
30030,2024-12-31,FY,591615000000,,163360000000
30030,2025-12-31,1Q,156644000000,,31816000000
30030,2025-12-31,2Q,300081000000,,75055000000
30030,2025-12-31,3Q,424218000000,,106371000000
30030,2025-12-31,FY,727447000000,,186826000000
30100,2021-03-31,FY,2972000000,,-1627000000
30240,2025-03-31,2Q,17384000000,,218000000
30340,2025-03-31,FY,263972000000,,13465000000
30360,2021-03-31,FY,214987000000,,5621000000
30380,2025-10-31,FY,551701000000,,39878000000
30540,2021-12-31,FY,20536000000,,48000000
30540,2022-12-31,3Q,8030000000,,23000000
30540,2022-12-31,FY,10599000000,,-45000000
30540,2023-12-31,1Q,3365000000,,88000000
30540,2023-12-31,2Q,6011000000,,32000000
30760,2024-06-30,FY,49812000000,,9853000000
30820,2021-06-30,3Q,4673000000,,-911000000
30910,2024-12-31,3Q,19952000000,,2015000000
31380,2024-12-31,3Q,4133000000,,213000000
31510,2022-03-31,FY,577249000000,,2945000000
31510,2023-03-31,FY,579772000000,,2470000000
31510,2024-03-31,FY,587481000000,,5556000000
31560,2022-03-31,FY,399590000000,,7485000000
31560,2024-03-31,2Q,245264000000,,7098000000
31790,2022-03-31,FY,43453000000,,3140000000
31790,2026-03-31,2Q,24424000000,,939000000
31820,2025-03-31,FY,256009000000,,6864000000
31980,2024-02-29,FY,29079000000,,2026000000
32050,2023-03-31,FY,28218000000,,-481000000
32260,2021-02-28,FY,11560000000,,5266000000
32260,2021-08-31,FY,11986000000,,5428000000
32260,2021-08-31,FY,11986000000,,5428000000
32260,2022-02-28,FY,12217000000,,5726000000
32260,2022-08-31,FY,12434000000,,5726000000
32260,2023-02-28,FY,12344000000,,5835000000
32260,2023-08-31,FY,13049000000,,6256000000
32260,2024-02-29,FY,12586000000,,6170000000
32260,2024-08-31,FY,12703000000,,5991000000
32260,2025-02-28,FY,12828000000,,6202000000
32260,2025-08-31,FY,13195000000,,6341000000
32310,2021-03-31,FY,580660000000,,76333000000
32310,2022-03-31,1Q,146544000000,,30493000000
