comparison_key,ticker,period,quarter,duplicate_count,sample_rows_json
1383|2023-10-31|FY,1383,2023-10-31,FY,2,"[{""ticker"": ""13830"", ""period"": ""2023-10-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-11-29"", ""fetched_at"": ""2026-03-02 12:46:47""}, {""ticker"": ""13830"", ""period"": ""2023-10-31"", ""quarter"": ""FY"", ""sales"": 7061000000, ""gross_profit"": 1754909000, ""operating_profit"": 76000000, ""disclosed_date"": ""2023-12-13"", ""fetched_at"": ""2026-03-02 12:46:47""}]"
1383|2024-10-31|FY,1383,2024-10-31,FY,2,"[{""ticker"": ""13830"", ""period"": ""2024-10-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-11-29"", ""fetched_at"": ""2026-03-02 12:46:47""}, {""ticker"": ""13830"", ""period"": ""2024-10-31"", ""quarter"": ""FY"", ""sales"": 7094000000, ""gross_profit"": 1741972000, ""operating_profit"": 22000000, ""disclosed_date"": ""2024-12-13"", ""fetched_at"": ""2026-03-02 12:46:47""}]"
1383|2025-10-31|FY,1383,2025-10-31,FY,2,"[{""ticker"": ""13830"", ""period"": ""2025-10-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-12-08"", ""fetched_at"": ""2026-03-02 12:46:47""}, {""ticker"": ""13830"", ""period"": ""2025-10-31"", ""quarter"": ""FY"", ""sales"": 7303000000, ""gross_profit"": 1716991000, ""operating_profit"": -32000000, ""disclosed_date"": ""2025-12-15"", ""fetched_at"": ""2026-03-02 12:46:47""}]"
1384|2021-03-31|FY,1384,2021-03-31,FY,2,"[{""ticker"": ""13840"", ""period"": ""2021-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-04-21"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2021-03-31"", ""quarter"": ""FY"", ""sales"": 13060000000, ""gross_profit"": 1718262000, ""operating_profit"": 152000000, ""disclosed_date"": ""2021-05-13"", ""fetched_at"": ""2026-03-02 12:46:48""}]"
1384|2022-03-31|FY,1384,2022-03-31,FY,3,"[{""ticker"": ""13840"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-08-12"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-05-02"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": 15359000000, ""gross_profit"": 2642727000, ""operating_profit"": 878000000, ""disclosed_date"": ""2022-05-13"", ""fetched_at"": ""2026-03-02 12:46:48""}]"
1384|2023-03-31|FY,1384,2023-03-31,FY,2,"[{""ticker"": ""13840"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-11-11"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 17823000000, ""gross_profit"": 3123000000, ""operating_profit"": 1318000000, ""disclosed_date"": ""2023-05-12"", ""fetched_at"": ""2026-03-02 12:46:48""}]"
1384|2025-03-31|FY,1384,2025-03-31,FY,4,"[{""ticker"": ""13840"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-11-13"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-11-14"", ""fetched_at"": ""2026-03-02 12:46:48""}, {""ticker"": ""13840"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-02-12"", ""fetched_at"": ""2026-03-02 12:46:48""}]"
1401|2021-05-31|FY,1401,2021-05-31,FY,2,"[{""ticker"": ""14010"", ""period"": ""2021-05-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-07-13"", ""fetched_at"": ""2026-03-02 12:46:51""}, {""ticker"": ""14010"", ""period"": ""2021-05-31"", ""quarter"": ""FY"", ""sales"": 3439000000, ""gross_profit"": 997861000, ""operating_profit"": 243000000, ""disclosed_date"": ""2021-07-14"", ""fetched_at"": ""2026-03-02 12:46:51""}]"
1401|2022-05-31|FY,1401,2022-05-31,FY,3,"[{""ticker"": ""14010"", ""period"": ""2022-05-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-01-12"", ""fetched_at"": ""2026-03-02 12:46:51""}, {""ticker"": ""14010"", ""period"": ""2022-05-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-07-12"", ""fetched_at"": ""2026-03-02 12:46:51""}, {""ticker"": ""14010"", ""period"": ""2022-05-31"", ""quarter"": ""FY"", ""sales"": 4030000000, ""gross_profit"": 1198461000, ""operating_profit"": 440000000, ""disclosed_date"": ""2022-07-13"", ""fetched_at"": ""2026-03-02 12:46:51""}]"
1401|2023-05-31|2Q,1401,2023-05-31,2Q,2,"[{""ticker"": ""14010"", ""period"": ""2023-05-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-01-12"", ""fetched_at"": ""2026-03-02 12:46:51""}, {""ticker"": ""14010"", ""period"": ""2023-05-31"", ""quarter"": ""2Q"", ""sales"": 1775000000, ""gross_profit"": 531672000, ""operating_profit"": 141000000, ""disclosed_date"": ""2023-01-13"", ""fetched_at"": ""2026-03-02 12:46:51""}]"
1407|2021-08-31|2Q,1407,2021-08-31,2Q,2,"[{""ticker"": ""14070"", ""period"": ""2021-08-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2021-04-06"", ""fetched_at"": ""2026-03-02 12:46:52""}, {""ticker"": ""14070"", ""period"": ""2021-08-31"", ""quarter"": ""2Q"", ""sales"": 26409000000, ""gross_profit"": 6338000000, ""operating_profit"": 3358000000, ""disclosed_date"": ""2021-04-14"", ""fetched_at"": ""2026-03-02 12:46:52""}]"
1407|2022-08-31|2Q,1407,2022-08-31,2Q,2,"[{""ticker"": ""14070"", ""period"": ""2022-08-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-03-25"", ""fetched_at"": ""2026-03-02 12:46:52""}, {""ticker"": ""14070"", ""period"": ""2022-08-31"", ""quarter"": ""2Q"", ""sales"": 34571000000, ""gross_profit"": 5660000000, ""operating_profit"": 2716000000, ""disclosed_date"": ""2022-04-14"", ""fetched_at"": ""2026-03-02 12:46:52""}]"
1407|2022-08-31|FY,1407,2022-08-31,FY,2,"[{""ticker"": ""14070"", ""period"": ""2022-08-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-06-24"", ""fetched_at"": ""2026-03-02 12:46:52""}, {""ticker"": ""14070"", ""period"": ""2022-08-31"", ""quarter"": ""FY"", ""sales"": 67169000000, ""gross_profit"": 14443000000, ""operating_profit"": 7770000000, ""disclosed_date"": ""2022-10-14"", ""fetched_at"": ""2026-03-02 12:46:52""}]"
1407|2023-08-31|2Q,1407,2023-08-31,2Q,2,"[{""ticker"": ""14070"", ""period"": ""2023-08-31"", ""quarter"": ""2Q"", ""sales"": 14801000000, ""gross_profit"": 4735000000, ""operating_profit"": 1510000000, ""disclosed_date"": ""2023-04-14"", ""fetched_at"": ""2026-03-02 12:46:52""}, {""ticker"": ""14070"", ""period"": ""2023-08-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-04-14"", ""fetched_at"": ""2026-03-02 12:46:52""}]"
1407|2023-08-31|FY,1407,2023-08-31,FY,2,"[{""ticker"": ""14070"", ""period"": ""2023-08-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-09-01"", ""fetched_at"": ""2026-03-02 12:46:52""}, {""ticker"": ""14070"", ""period"": ""2023-08-31"", ""quarter"": ""FY"", ""sales"": 43734000000, ""gross_profit"": 15356000000, ""operating_profit"": 8499000000, ""disclosed_date"": ""2023-10-13"", ""fetched_at"": ""2026-03-02 12:46:52""}]"
